datetime,temp
1/1/2021,15
1/2/2021,15.4
1/3/2021,15.6
1/4/2021,16.3
1/5/2021,17.1
1/6/2021,16.5
1/7/2021,16.8
1/8/2021,15.3
1/9/2021,15
1/10/2021,15.2
1/11/2021,16
1/12/2021,16.1
1/13/2021,16.9
1/14/2021,17.6
1/15/2021,18
1/16/2021,17.7
1/17/2021,17.3
1/18/2021,18.3
1/19/2021,18
1/20/2021,18.5
1/21/2021,19.6
1/22/2021,22.6
1/23/2021,22.1
1/24/2021,17.1
1/25/2021,16.7
1/26/2021,17.2
1/27/2021,17.2
1/28/2021,17.6
1/29/2021,18.2
1/30/2021,18.2
1/31/2021,19.5
2/1/2021,20.7
2/2/2021,20.2
2/3/2021,21.2
2/4/2021,19.9
2/5/2021,19.7
2/6/2021,19.4
2/7/2021,19.7
2/8/2021,20.7
2/9/2021,20.8
2/10/2021,23.3
2/11/2021,21.6
2/12/2021,22
2/13/2021,21.4
2/14/2021,22.7
2/15/2021,22.1
2/16/2021,22.6
2/17/2021,22.7
2/18/2021,23
2/19/2021,24.7
2/20/2021,24.2
2/21/2021,23.8
2/22/2021,24.2
2/23/2021,23.4
2/24/2021,24.3
2/25/2021,25.4
2/26/2021,25.8
2/27/2021,25.9
2/28/2021,25.2
3/1/2021,24
3/2/2021,23.2
3/3/2021,25.2
3/4/2021,26.1
3/5/2021,26.9
3/6/2021,25.5
3/7/2021,26.5
3/8/2021,25.8
3/9/2021,26.1
3/10/2021,25.3
3/11/2021,25
3/12/2021,26.6
3/13/2021,27.7
3/14/2021,26.5
3/15/2021,27
3/16/2021,27.3
3/17/2021,27.5
3/18/2021,26.6
3/19/2021,27.8
3/20/2021,27.5
3/21/2021,27.1
3/22/2021,27.3
3/23/2021,26
3/24/2021,27.7
3/25/2021,28.8
3/26/2021,29
3/27/2021,29.7
3/28/2021,28.2
3/29/2021,28.3
3/30/2021,30.3
3/31/2021,32.2
4/1/2021,31.7
4/2/2021,30.8
4/3/2021,31.4
4/4/2021,29.2
4/5/2021,28.8
4/6/2021,28.8
4/7/2021,31.2
4/8/2021,30.1
4/9/2021,28.6
4/10/2021,30.8
4/11/2021,30.9
4/12/2021,29.8
4/13/2021,28.6
4/14/2021,27.9
4/15/2021,28.6
4/16/2021,30
4/17/2021,29.8
4/18/2021,29.1
4/19/2021,29.4
4/20/2021,30.6
4/21/2021,29.9
4/22/2021,29.4
4/23/2021,31.6
4/24/2021,32.4
4/25/2021,31.6
4/26/2021,30.8
4/27/2021,30
4/28/2021,30
4/29/2021,29.8
4/30/2021,31.4
5/1/2021,31.4
5/2/2021,31
5/3/2021,30.2
5/4/2021,30.6
5/5/2021,31
5/6/2021,31.3
5/7/2021,31.3
5/8/2021,32
5/9/2021,31.7
5/10/2021,30.7
5/11/2021,31
5/12/2021,30.7
5/13/2021,31.4
5/14/2021,30.9
5/15/2021,31.2
5/16/2021,35.3
5/17/2021,37.9
5/18/2021,35.2
5/19/2021,33.1
5/20/2021,31.6
5/21/2021,31.7
5/22/2021,32
5/23/2021,32.1
5/24/2021,31.7
5/25/2021,32.2
5/26/2021,32.7
5/27/2021,32.3
5/28/2021,32
5/29/2021,31.6
5/30/2021,31.8
5/31/2021,32.2
6/1/2021,31.8
6/2/2021,31.8
6/3/2021,31.9
6/4/2021,32
6/5/2021,32.1
6/6/2021,31.9
6/7/2021,32.2
6/8/2021,32.1
6/9/2021,31.4
6/10/2021,31.7
6/11/2021,32
6/12/2021,31.6
6/13/2021,32
6/14/2021,31.8
6/15/2021,31.7
6/16/2021,32.5
6/17/2021,32.3
6/18/2021,32.6
6/19/2021,32.4
6/20/2021,32
6/21/2021,31.8
