Time,Status,Duration (Seconds),IP Address,Country,Region,City / Town / District,Latitude,Longitude,Q1,Q2,Age (years),Height (Inches),Country of Citizenship,Undergraduate Degree,Expected Graduation date from Mason MS program?,Q8,Q9,Q10,Q11,Q12,What is your goal for learning about data analytics?
10/3/20 5:49 PM,Completed,11646,100.36.167.226,United States,Virginia,Fairfax,-77.2891,38.8209,4.0,Female,23,63.0,Taiwan,Economics,2021-12-31,Apple/MacBook,Not Working while attending Mason,Some familiarity,Little/none,Some familiarity,Advance my career in data science
10/3/20 5:49 PM,Completed,113,98.169.26.134,United States,Virginia,Fairfax,-77.263,38.8605,2.0,Female,24,59.0,India,Finance,2021-05-01,Apple/MacBook,"Working, but not Full Time",Average user,Average user,Little/none,Advance my career in data science
10/3/20 5:49 PM,Completed,572,98.169.52.23,United States,Virginia,Greenway Downs,-77.2331,38.9645,2.0,Male,40,70.0,India,Computer Science,2022-06-01,Apple/MacBook,"Yes, Full Time",Some familiarity,Little/none,Average user,"As part of my work, I have access to a lot of valuable row data. I know I could use them for generating meaningful information and to take informed decisions. The goal is to use the techniques learned in these data analytics sessions to be used at work and also outside work to do some research activities."
10/3/20 5:50 PM,Completed,365,69.255.182.253,United States,Virginia,Gainesville,-77.6308,38.8175,2.0,Prefer not to answer,26,66.0,South Korea,Business Management,2021-12-31,Microsoft/Windows,Not Working while attending Mason,Average user,Frequent use for projects,Some familiarity,Advance my career in data science
10/3/20 5:51 PM,Completed,92,138.88.108.230,United States,Virginia,Fairfax,-97.822,37.751,2.0,Male,30,70.0,United States,Economics,2021-01-01,Apple/MacBook,"Yes, Full Time",Some familiarity,Some familiarity,Average user,Learn
10/3/20 5:59 PM,Incomplete,221,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,2.0,Female,25,67.05714285714286,India,Economics,2021-12-20,Microsoft/Windows,Not Working while attending Mason,Average user,Average user,Average user,Advance my career in data science
10/3/20 6:23 PM,Completed,115983,108.48.175.220,United States,Virginia,Arlington,-77.0987,38.86,2.0,NonBinary,24,70.0,Pakistan,Finance,2022-07-15,Microsoft/Windows,"Working, but not Full Time",Average user,Average user,Average user,To deduce meaningful interpretation for Financial data in order to hedge against risks and provide higher returns.
10/3/20 7:10 PM,Incomplete,40,173.67.199.85,United States,Virginia,Ashburn,-77.539,39.018,2.0,Female,30,52.0,India,Economics,2021-12-20,Microsoft/Windows,Not Working while attending Mason,Average user,Average user,Average user,Advance my career in data science
10/3/20 7:25 PM,Completed,137,74.96.114.12,United States,Virginia,Woodbridge,-77.3197,38.678,2.0,Male,24,71.0,China,Economics,2021-12-15,Microsoft/Windows,"Yes, Full Time",Some familiarity,Frequent use for projects,Average user,Advance my career in data science
10/3/20 7:56 PM,Incomplete,179,107.77.241.32,United States,Texas,Fairfax,-96.8217,32.7787,4.0,Male,26,71.0,Uzbekistan,Economics,2021-12-20,Microsoft/Windows,Not Working while attending Mason,Average user,Average user,Average user,Advance my career in data science
10/3/20 8:14 PM,Completed,127,138.88.182.245,United States,Maryland,Takoma Park,-77.004,38.9827,2.0,Female,24,66.0,United States,Computer Science,2022-05-01,Microsoft/Windows,Not Working while attending Mason,Little/none,Little/none,Some familiarity,To see if it is a field I am interested in pursuing as a career after graduating.
10/3/20 9:38 PM,Completed,269,72.83.246.60,United States,Virginia,Fairfax,-77.263,38.8605,4.0,Female,25,66.0,India,Computer Engineering,2021-05-31,Microsoft/Windows,Not Working while attending Mason,Frequent use for projects,Average user,Frequent use for projects,To learn and explore cutting edge data technologies and build applications that would be helpful for society.
10/3/20 9:41 PM,Completed,117,96.241.43.105,United States,Virginia,Chantilly,-77.4512,38.9036,2.0,Male,25,69.0,Romania,Biology,2021-08-26,Apple/MacBook,"Working, but not Full Time",Some familiarity,Average user,Average user,Learn to select the appropriate tools to conduct data analysis. 
