id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type
1077501,1296599,5000,5000,4975, 36 months,10.65,162.87,B,B2,,10+ years,RENT,24000,Verified,Dec-11,Fully Paid,n,credit_card,Computer,860xx,AZ,27.65,0,Jan-85,1,,,3,0,13648,83.7,9,f,0,0,5861.071414,5831.78,5000,861.07,0,0,0,Jan-15,171.62,Jan-16,INDIVIDUAL
1077430,1314167,2500,2500,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,car,bike,309xx,GA,1,0,Apr-99,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,Apr-13,119.66,Sep-13,INDIVIDUAL
1077175,1313524,2400,2400,2400, 36 months,15.96,84.33,C,C5,,10+ years,RENT,12252,Not Verified,Dec-11,Fully Paid,n,small_business,real estate business,606xx,IL,8.72,0,Nov-01,2,,,2,0,2956,98.5,10,f,0,0,3003.653644,3003.65,2400,603.65,0,0,0,Jun-14,649.91,Jan-16,INDIVIDUAL
1076863,1277178,10000,10000,10000, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Dec-11,Fully Paid,n,other,personel,917xx,CA,20,0,Feb-96,1,35,,10,0,5598,21,37,f,0,0,12226.30221,12226.3,10000,2209.33,16.97,0,0,Jan-15,357.48,Jan-15,INDIVIDUAL
1075358,1311748,3000,3000,3000, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,Dec-11,Current,n,other,Personal,972xx,OR,17.94,0,Jan-96,0,38,,15,0,27783,53.9,38,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,Jan-16,67.79,Jan-16,INDIVIDUAL
1075269,1311441,5000,5000,5000, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,Dec-11,Fully Paid,n,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,Nov-04,3,,,9,0,7963,28.3,12,f,0,0,5631.377753,5631.38,5000,631.38,0,0,0,Jan-15,161.03,Sep-15,INDIVIDUAL
1069639,1304742,7000,7000,7000, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,Dec-11,Current,n,debt_consolidation,Loan,280xx,NC,23.51,0,Jul-05,1,,,7,0,17726,85.6,11,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,Jan-16,170.08,Jan-16,INDIVIDUAL
1072053,1288686,3000,3000,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-11,Fully Paid,n,car,Car Downpayment,900xx,CA,5.35,0,Jan-07,2,,,4,0,8221,87.5,4,f,0,0,3938.144334,3938.14,3000,938.14,0,0,0,Jan-15,111.34,Dec-14,INDIVIDUAL
1071795,1306957,5600,5600,5600, 60 months,21.28,152.39,F,F2,,4 years,OWN,40000,Source Verified,Dec-11,Charged Off,n,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,Apr-04,2,,,11,0,5210,32.6,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,Apr-12,152.39,Aug-12,INDIVIDUAL
1071570,1306721,5375,5375,5350, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,Dec-11,Charged Off,n,other,Building my credit history.,774xx,TX,18.08,0,Sep-04,0,,,2,0,9279,36.5,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,Nov-12,121.45,Mar-13,INDIVIDUAL
1070078,1305201,6500,6500,6500, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-98,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,Jun-13,1655.54,Dec-15,INDIVIDUAL
1069908,1305008,12000,12000,12000, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-89,0,,,12,0,23336,67.1,34,f,0,0,13943.08,13943.08,12000,1943.08,0,0,0,Sep-13,6315.3,Aug-13,INDIVIDUAL
1064687,1298717,9000,9000,9000, 36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,debt_consolidation,freedom,245xx,VA,10.08,0,Apr-04,1,,,4,0,10452,91.7,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,Jul-12,305.38,Nov-12,INDIVIDUAL
1069866,1304956,3000,3000,3000, 36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,Dec-11,Fully Paid,n,credit_card,citicard fund,606xx,IL,12.56,0,Jul-03,2,,,11,0,7323,43.1,11,f,0,0,3478.981915,3478.98,3000,478.98,0,0,0,Jan-15,102.43,Jan-16,INDIVIDUAL
1069057,1303503,10000,10000,10000, 36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,Dec-11,Charged Off,n,other,Other Loan,951xx,CA,7.06,0,May-91,2,,,14,0,11997,55.5,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,Oct-13,325.74,Mar-14,INDIVIDUAL
1069759,1304871,1000,1000,1000, 36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,Sep-07,1,,,11,0,6524,81.5,23,f,0,0,1270.171106,1270.17,1000,270.17,0,0,0,Jan-15,36.32,Jan-16,INDIVIDUAL
1065775,1299699,10000,10000,10000, 36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,Dec-11,Fully Paid,n,home_improvement,Home,921xx,CA,18.6,0,Oct-98,2,61,,14,0,24043,70.2,28,f,0,0,12519.26045,12519.26,10000,2519.26,0,0,0,Jan-15,370.46,Apr-15,INDIVIDUAL
1069971,1304884,3600,3600,3600, 36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,Dec-11,Fully Paid,n,major_purchase,Holiday,067xx,CT,10.52,0,Aug-93,0,,,20,0,22836,16,42,f,0,0,3785.02,3785.02,3600,185.02,0,0,0,May-13,583.45,May-14,INDIVIDUAL
1062474,1294539,6000,6000,6000, 36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,Dec-11,Fully Paid,n,medical,Medical,890xx,UT,18.44,2,Oct-03,0,8,,4,0,0,37.73,14,f,0,0,7164.499852,7164.5,6000,1149.5,15,0,0,Feb-15,16.98,Jul-15,INDIVIDUAL
1069742,1304855,9200,9200,9200, 36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,Jan-01,0,,,8,0,7314,23.1,28,f,0,0,9459.96,9459.96,9200,259.96,0,0,0,Jul-12,8061.1,Jul-12,INDIVIDUAL
1069740,1284848,20250,20250,19142.16108, 60 months,15.27,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,Dec-11,Fully Paid,n,debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0,Nov-97,3,,,8,0,17813,85.6,22,f,0,0,27663.04267,25417.68,20250,7413.04,0,0,0,Aug-15,6024.09,Dec-15,INDIVIDUAL
1039153,1269083,21000,21000,21000, 36 months,12.42,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83,0,,,7,0,32135,90.3,38,f,0,0,14025.4,14025.4,10694.96,3330.44,0,0,0,Sep-13,701.73,Jan-16,INDIVIDUAL
1069710,1304821,10000,10000,10000, 36 months,11.71,330.76,B,B3,Value Air,10+ years,OWN,50000,Source Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Loan,799xx,TX,11.18,0,Jul-85,0,,,8,0,10056,82.4,21,f,0,0,11902.56157,11902.56,10000,1902.56,0,0,0,Jan-15,349.21,Jan-16,INDIVIDUAL
1069700,1304810,10000,10000,10000, 36 months,11.71,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,Apr-03,0,,,6,0,17800,91.8,17,f,0,0,11536.31,11536.31,10000,1536.31,0,0,0,Oct-13,4942.63,Mar-14,INDIVIDUAL
