Age,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
41,Sales,1,2,Life Sciences,Female,94,2,Sales Executive,Single,8,Yes,3,0,8,0,1,6,4,0,5,5993
49,Research & Development,8,1,Life Sciences,Male,61,2,Research Scientist,Married,1,No,4,1,10,3,3,10,7,1,7,5130
37,Research & Development,2,2,Other,Male,92,1,Laboratory Technician,Single,6,Yes,3,0,7,3,3,0,0,0,0,2090
33,Research & Development,3,4,Life Sciences,Female,56,1,Research Scientist,Married,1,Yes,3,0,8,3,3,8,7,3,0,2909
27,Research & Development,2,1,Medical,Male,40,1,Laboratory Technician,Married,9,No,3,1,6,3,3,2,2,2,2,3468
32,Research & Development,2,2,Life Sciences,Male,79,1,Laboratory Technician,Single,0,No,3,0,8,2,2,7,7,3,6,3068
59,Research & Development,3,3,Medical,Female,81,1,Laboratory Technician,Married,4,Yes,4,3,12,3,2,1,0,0,0,2670
30,Research & Development,24,1,Life Sciences,Male,67,1,Laboratory Technician,Divorced,1,No,4,1,1,2,3,1,0,0,0,2693
38,Research & Development,23,3,Life Sciences,Male,44,3,Manufacturing Director,Single,0,No,4,0,10,2,3,9,7,1,8,9526
36,Research & Development,27,3,Medical,Male,94,2,Healthcare Representative,Married,6,No,3,2,17,3,2,7,7,7,7,5237
35,Research & Development,16,3,Medical,Male,84,1,Laboratory Technician,Married,0,No,3,1,6,5,3,5,4,0,3,2426
29,Research & Development,15,2,Life Sciences,Female,49,2,Laboratory Technician,Single,0,Yes,3,0,10,3,3,9,5,0,8,4193
31,Research & Development,26,1,Life Sciences,Male,31,1,Research Scientist,Divorced,1,No,3,1,5,1,2,5,2,4,3,2911
34,Research & Development,19,2,Medical,Male,93,1,Laboratory Technician,Divorced,0,No,3,1,3,2,3,2,2,1,2,2661
28,Research & Development,24,3,Life Sciences,Male,50,1,Laboratory Technician,Single,5,Yes,3,0,6,4,3,4,2,0,3,2028
29,Research & Development,21,4,Life Sciences,Female,51,3,Manufacturing Director,Divorced,1,No,3,1,10,1,3,10,9,8,8,9980
32,Research & Development,5,2,Life Sciences,Male,80,1,Research Scientist,Divorced,0,Yes,3,2,7,5,2,6,2,0,5,3298
22,Research & Development,16,2,Medical,Male,96,1,Laboratory Technician,Divorced,1,Yes,3,2,1,2,2,1,0,0,0,2935
53,Sales,2,4,Life Sciences,Female,78,4,Manager,Married,2,No,3,0,31,3,3,25,8,3,7,15427
38,Research & Development,2,3,Life Sciences,Male,45,1,Research Scientist,Single,5,Yes,3,0,6,3,3,3,2,1,2,3944
24,Research & Development,11,2,Other,Female,96,2,Manufacturing Director,Divorced,0,No,3,1,5,5,2,4,2,1,3,4011
36,Sales,9,4,Life Sciences,Male,82,1,Sales Representative,Single,7,No,4,0,10,4,3,5,3,0,3,3407
34,Research & Development,7,4,Life Sciences,Female,53,3,Research Director,Single,0,No,3,0,13,4,3,12,6,2,11,11994
21,Research & Development,15,2,Life Sciences,Male,96,1,Research Scientist,Single,1,No,3,0,0,6,3,0,0,0,0,1232
34,Research & Development,6,1,Medical,Male,83,1,Research Scientist,Single,2,No,3,0,8,2,3,4,2,1,3,2960
53,Research & Development,5,3,Other,Female,58,5,Manager,Divorced,4,No,3,1,26,3,2,14,13,4,8,19094
32,Research & Development,16,1,Life Sciences,Female,72,1,Research Scientist,Single,1,Yes,4,0,10,5,3,10,2,6,7,3919
42,Sales,8,4,Marketing,Male,48,2,Sales Executive,Married,0,No,3,1,10,2,3,9,7,4,2,6825
44,Research & Development,7,4,Medical,Female,42,3,Healthcare Representative,Married,3,No,3,1,24,4,3,22,6,5,17,10248
46,Sales,2,4,Marketing,Female,83,5,Manager,Single,3,No,3,0,22,2,2,2,2,2,1,18947
33,Research & Development,2,3,Medical,Male,78,1,Laboratory Technician,Single,4,No,3,0,7,3,3,1,1,0,0,2496
44,Research & Development,10,4,Other,Male,41,2,Healthcare Representative,Married,2,Yes,3,0,9,5,4,4,2,1,3,6465
